corridor1 [0.6048462621780171]
corridor2 [0.7470014480448526]
corridor3 [0.7947728060578015]
corridor4 [0.6856027558699687]
corridor5 [0.6837803336858383]
magistrale2 [0.955045560447716]
magistrale3 [0.9637251422567175]
magistrale4 [0.9316519098675196]
magistrale5 [0.9580735129238902]
outdoors1 [0.8960079966834851]
outdoors2 [0.7966136913913133]
outdoors3 [0.8154901835058599]
outdoors4 [0.7991064051937983]
outdoors5 [0.827238356286491]
outdoors6 [0.9087260075907866]
outdoors7 [0.815659602645703]
outdoors8 [0.9532003421633655]
room1 [1.0132927321101848]
room2 [1.203241682310345]
room3 [1.2961632261444476]
room4 [1.0515726435572912]
room5 [0.9300419299947689]
room6 [0.9397186338722961]
slides1 [0.9150695367175721]
slides2 [0.8423075974667489]
slides3 [0.8862769256261418]
outdoors1 0.8960079966834851
outdoors2 0.7966136913913133
outdoors3 0.8154901835058599
outdoors4 0.7991064051937983
outdoors5 0.827238356286491
outdoors6 0.9087260075907866
outdoors7 0.815659602645703
outdoors8 0.9532003421633655
room1 1.0132927321101848
room2 1.203241682310345
room3 1.2961632261444476
room4 1.0515726435572912
room5 0.9300419299947689
room6 0.9397186338722961
slides1 0.9150695367175721
slides2 0.8423075974667489
slides3 0.8862769256261418
AVG:  0.934689852544741
